lon,lat,ibge
-3.876055,-38.59505,-1.0
-3.982262,-38.611904,-1.0
-3.982547,-38.612022,-1.0
-3.982453,-38.612598,-1.0
-3.981999,-38.612519,-1.0
-3.862899,-38.469428,-1.0
-3.863216,-38.469465,-1.0
-3.863316,-38.470118,-1.0
-3.862947,-38.470242,-1.0
-3.862648,-38.469627,-1.0
-3.91408,-38.389077,-1.0
-3.913634,-38.388782,-1.0
-3.914192,-38.38817,-1.0
-3.914527,-38.388643,-1.0
-3.913634,-38.388448,-1.0
-3.960115,-38.365949,-1.0
-3.960378,-38.365918,-1.0
-3.960732,-38.366273,-1.0
-3.960295,-38.366799,-1.0
-3.959882,-38.366518,-1.0
-4.023606,-38.315533,-1.0
-4.023858,-38.3152,-1.0
-4.024061,-38.315204,-1.0
-4.024297,-38.315506,-1.0
-4.023844,-38.315862,-1.0
-4.104727,-38.283234,-1.0
-4.105157,-38.28328,-1.0
-4.10515,-38.283709,-1.0
-4.102662,-38.284022,-1.0
-4.102662,-38.284429,-1.0
-4.103055,-38.28456,-1.0
-4.138626,-38.265619,-1.0
-4.138728,-38.265596,-1.0
-4.138468,-38.265821,-1.0
-4.138827,-38.266121,-1.0
-4.138708,-38.266136,-1.0
-4.139002,-38.265909,-1.0
-4.162563,-38.23223,-1.0
-4.16291,-38.232175,-1.0
-4.163058,-38.232551,-1.0
-4.162681,-38.232732,-1.0
-4.162475,-38.232418,-1.0
-4.209478,-38.227355,-1.0
-4.210568,-38.226969,-1.0
-4.209187,-38.22651,-1.0
-4.209849,-38.226018,-1.0
-4.185343,-38.151713,-1.0
-4.185521,-38.151422,-1.0
-4.185923,-38.151506,-1.0
-4.18583,-38.151997,-1.0
-4.185458,-38.151961,-1.0
-4.186945,-38.135703,-1.0
-4.186801,-38.135987,-1.0
-4.186444,-38.135836,-1.0
-4.186443,-38.13567,-1.0
-4.325397,-40.152857,-1.0
-4.325227,-40.152749,-1.0
-4.325437,-40.152724,-1.0
-4.325325,-40.152657,-1.0
-4.333328,-40.158363,-1.0
-4.333288,-40.158078,-1.0
-4.333486,-40.158006,-1.0
-4.333421,-40.158003,-1.0
-3.52644,-40.342048,-1.0
-3.526259,-40.341989,-1.0
-3.526415,-40.342133,-1.0
-3.827137,-38.624179,-1.0
-3.827494,-38.624577,-1.0
-3.82747,-38.623941,-1.0
-3.850553,-38.645371,-1.0
-3.85138,-38.646429,-1.0
-3.850576,-38.646612,-1.0
-3.8501,-38.646168,-1.0
-3.909892,-38.683212,-1.0
-3.871395,-38.498856,-1.0
-3.871252,-38.498736,-1.0
-3.871593,-38.498821,-1.0
-3.871671,-38.498553,-1.0
-3.871296,-38.498475,-1.0
-3.724406,-38.643175,-1.0
-3.724102,-38.643219,-1.0
-3.724532,-38.642648,-1.0
-3.724029,-38.642507,-1.0
-3.723912,-38.643098,-1.0
-6.37673,-39.306132,-1.0
-6.376953,-39.306256,-1.0
-6.376724,-39.306317,-1.0
-6.376696,-39.306186,-1.0
-4.224858,-38.915795,-1.0
-4.225517,-38.922372,-1.0
-4.226036,-38.928073,-1.0
-4.223843,-38.730372,-1.0
-4.224403,-38.728061,-1.0
-4.214472,-38.954741,-1.0
-4.261892,-38.932637,-1.0
-4.26075,-38.929227,-1.0
-4.286703,-38.934023,-1.0
-4.331452,-38.878783,-1.0
-4.305282,-38.995798,-1.0
-4.30634,-38.996983,-1.0
-4.306282,-38.997533,-1.0
-4.416304,-39.04628,-1.0
-3.586842,-40.54547,-1.0
-3.59993,-40.447521,-1.0
-3.568181,-40.636589,-1.0
-3.519678,-40.360689,-1.0
-3.54127,-40.454408,-1.0
-3.683465,-40.35259,-1.0
-3.687442,-40.354688,-1.0
-3.90757,-40.744357,-1.0
-3.908918,-40.746602,-1.0
-3.920982,-40.889062,-1.0
-3.81204,-38.500574,-1.0
-3.811407,-38.500517,-1.0
-3.811641,-38.500331,-1.0
-3.811382,-38.500737,-1.0
-3.812008,-38.500829,-1.0
-3.81195,-38.50042,-1.0
-3.485844,-39.613486,-1.0
-3.500398,-39.58023,-1.0
-6.792811,-39.306783,-1.0
-3.694243,-40.378922,-1.0
-3.694435,-40.379318,-1.0
-3.695395,-40.381106,-1.0
-3.716868,-40.334459,-1.0
-3.716927,-40.334524,-1.0
-3.716483,-40.33461,-1.0
-3.716591,-40.334855,-1.0
-3.716495,-40.334737,-1.0
-3.679687,-40.348863,-1.0
