ncm, scnp
08021100,01919
08021200,10931
08022100,01919
08022200,10931
08023100,01919
08023200,10931
08024000,01919
08024100,01919
08024200,01919
08025000,01919
08025100,01919
08025200,01919
08026000,02801
08026100,01919
08026200,01919
08027000,01919
08028000,01919
08029000,01919
08030000,01919
08031000,01919
08039000,01919
08041010,01919
08041020,10931
08042010,01919
08042020,10931
08043000,10931
08044000,10931
08045010,10931
08045020,10931
08045030,10931
08051000,01917
08052000,10931
08054000,10931
08055000,10931
08059000,10931
08061000,01919
08062000,10931
08071100,01916
08071900,01916
08072000,01919
08081000,01919
08082010,01919
08082020,01919
08083000,01919
08084000,01919
08091000,01919
08092000,01919
08092100,01919
08092900,01919
08093010,01919
08093020,01919
08094000,01919
08101000,01916
08102000,01919
08103000,01919
08104000,01919
08105000,01919
08106000,01919
08107000,01919
08109000,01919
08111000,10931
08112000,10931
08119000,10931
08121000,10931
08129000,10931
08131000,10931
08132010,10931
08132020,10931
08133000,10931
08134010,10931
08134090,10931
08135000,10931
08140000,10931
09011110,01918
09011190,01918
09011200,10933
09012100,10933
09012200,10933
09019000,10933
09021000,10937
09022000,01919
09023000,10937
09024000,10937
09030010,01919
09030090,01919
09041100,01919
09041200,10937
09042000,10937
09042100,01916
09042200,10937
09050000,10937
09051000,01919
09052000,10937
09061100,01919
09061900,10937
09062000,10937
09070000,10937
09071000,01919
09072000,10937
09081000,10937
09081100,01919
09081200,10937
09082000,10937
09082100,10937
09082200,10937
09083000,10937
09083100,10937
09083200,10937
09091010,10937
09091020,10937
09092000,10937
09092100,10937
09092200,10937
09093000,10937
09093100,01916
09093200,10937
09094000,10937
09095000,10937
09096110,01916
09096120,01916
09096190,10937
09096210,10937
09096220,10937
09096290,10937
09101000,10937
09101100,01916
09101200,10937
09102000,01916
09103000,01916
09109100,10937
09109900,10937
10011010,01911
10011090,01911
10011100,01911
10011900,01911
10019010,01911
10019090,01911
10019100,01911
10019900,01911
10020010,01911
10020090,01911
10021000,01911
10029000,01911
10030010,01911
10030091,01911
10030098,01911
10030099,01911
10031000,01911
10039010,01911
10039080,01911
10039090,01911
10040010,01911
10040090,01911
10041000,01911
10049000,01911
10051000,01912
10059010,01912
10059090,01912
10061010,01911
10061091,10911
10061092,01911
10062010,10934
10062020,10934
10063011,10934
10063019,10934
10063021,10934
10063029,10934
10064000,10934
10070010,01911
10070090,01911
10071000,01911
10079000,01911
10081010,01916
10081090,01911
10082010,01916
10082090,01911
10082100,01916
10082110,01916
10082190,01916
10082900,01911
10082910,01911
10082990,01911
10083010,01916
10083090,01911
10084010,01916
10084090,01911
10085010,01916
10085090,01911
10086010,01916
10086090,01911
10089010,01916
10089090,01911
11010010,10935
11010020,10935
11021000,10935
11022000,10935
11029000,10935
11031100,10935
11031300,10935
11031900,10935
11032000,10935
11041200,10935
11041900,10935
11042200,10935
11042300,10935
11042900,10935
11043000,10935
11051000,10931
11052000,10931
11061000,10935
11062000,10935
11063000,10935
11071010,11001
11071020,11001
11072010,11001
11072020,11001
11081100,10935
11081200,10935
11081300,10935
11081400,10935
11081900,10935
11082000,10935
11090000,10935
12010010,01915
12010090,01915
12011000,01915
12019000,01915
12021000,01916
12022010,01916
12022090,10931
12023000,01916
12024100,01916
12024200,10931
12030000,01919
12040010,01916
12040090,01916
12051010,01916
12051090,01916
12059010,01916
12059090,01916
12060010,01916
12060090,01916
12071010,01916
12071090,01919
12072010,01913
12072090,01913
12072100,01913
12072900,01913
12073010,01916
12073090,01916
12074010,01916
12074090,01916
12075010,01916
12075090,01916
12076010,01916
12076090,02801
12077010,01916
12077090,02801
12079110,01916
12079190,01916
12079910,01916
12079911,01916
12079919,01916
12079990,02801
12079991,01916
12079992,01916
12079999,02801
12081000,10932
12089000,10932
12091000,01916
12092100,01916
12092200,01916
12092300,01916
12092400,01916
12092500,01916
12092900,01916
12093000,01916
12099100,01916
12099900,01916
12101000,01919
12102010,01919
12102020,01919
12112000,01916
12113000,02801
12114000,02801
12119010,01916
12119090,01916
12122000,02802
12122100,02802
12122900,02802
12129100,01916
12129200,01914
12129300,01914
12129400,02801
12129910,01916
12129990,10931
12130000,10935
12141000,10936
12149000,01916
13012000,02801
13019010,02801
13019090,02801
13021110,10937
13021190,10937
13021200,10937
13021300,10937
13021910,10937
13021920,10937
13021930,10937
13021940,10937
13021950,10937
13021960,10937
13021991,10937
13021999,10937
13022010,10937
13022090,10937
13023100,10937
13023211,10937
13023219,10937
13023220,10937
13023910,10937
13023990,10937
14011000,02801
14012000,02801
14019000,02801
14042010,10932
14042090,10932
14049010,02801
14049090,02801
15010000,10911
15011000,10911
15012000,10911
15019000,10911
15020011,10911
15020012,10911
15020019,10911
15020090,10911
15021011,10911
15021012,10911
15021019,10911
15021090,10911
15029000,10911
15030000,10932
15041011,10932
15041019,10932
15041090,10932
15042000,10932
15043000,10932
15050010,13001
15050090,13001
15060000,10932
15071000,10932
15079011,10932
15079019,10932
15079090,10932
15081000,10932
15089000,10932
15091000,10932
15099010,10932
15099090,10932
15100000,10932
15111000,10932
15119000,10932
15121110,10932
15121120,10932
15121911,10932
15121919,10932
15121920,10932
15122100,10932
15122910,10932
15122990,10932
15131100,10932
15131900,10932
15132110,10932
15132120,10932
15132910,10932
15132920,10932
15141100,10932
15141910,10932
15141990,10932
15149100,10932
15149910,10932
15149990,10932
15151100,10932
15151900,10932
15152100,10935
15152910,10935
15152990,10935
15153000,10932
15155000,10932
15159010,10932
15159021,10932
15159022,10932
15159090,10932
15161000,10932
15162000,10932
15171000,10932
15179010,10932
15179090,10932
15180010,20922
15180090,20922
15200010,20931
15200020,20931
15211000,02801
15219011,01921
15219019,01921
15219090,10932
15220000,10932
16010000,10911
16021000,10937
16022000,10911
16023100,10937
16023200,10911
16023210,10911
16023220,10911
16023230,10911
16023290,10937
16023900,10911
16024100,10911
16024200,10911
16024900,10911
16025000,10911
16029000,10911
16030000,10937
16041100,10914
16041200,10914
16041310,10914
16041390,10914
16041410,10914
16041420,10914
16041430,10914
16041500,10914
16041600,10914
16041700,10914
16041900,10914
16042010,10937
16042020,10914
16042030,10937
16042090,10937
16043000,10914
16043100,10914
16043200,10914
16051000,10914
16052000,10937
16052100,10914
16052900,10937
16053000,10914
16054000,10914
16055100,10914
16055200,10914
16055300,10914
16055400,10914
16055500,10914
16055600,10914
16055700,10914
16055800,10914
16055900,10914
16056100,10914
16056200,10914
16056300,10914
16056900,10914
16059000,10914
17011100,10921
17011200,10921
17011300,10921
17011400,10921
17019100,10921
17019900,10921
17021100,10916
17021900,10916
17022000,10921
17023011,10935
17023019,10935
17023020,10935
17024010,10935
17024020,10935
17025000,10935
17026010,10935
17026020,10935
17029000,10935
17031000,10921
17039000,10921
17041000,10937
17049010,10937
17049020,10937
17049090,10937
18010000,01919
18020000,10937
18031000,10937
18032000,10937
18040000,10937
18050000,10937
18061000,10937
18062000,10937
18063110,10937
18063120,10937
18063210,10937
18063220,10937
18069000,10937
19011010,10916
19011020,10916
19011030,10937
19011090,10937
19012000,10935
19019010,10937
19019020,10916
19019090,10937
19021100,10937
19021900,10937
19022000,10937
19023000,10937
19024000,10937
19030000,10935
19041000,10935
19042000,10935
19043000,10935
19049000,10935
19051000,10937
19052010,10937
19052090,10937
19053090,10937
19053100,10937
19053200,10937
19054000,10937
19059010,10937
19059020,10937
19059090,10937
20011000,10931
20019000,10931
20021000,10931
20029010,10931
20029090,10931
20031000,10931
20032000,10931
20039000,10931
20041000,10931
20049000,10937
20051000,10937
20052000,10931
20054000,10931
20055100,10931
20055900,10931
20056000,10931
20057000,10931
20058000,10931
20059100,10931
20059900,10931
20060000,10937
20071000,10937
20079100,10931
20079910,10931
20079929,10931
20079990,10931
20081100,10931
20081900,10931
20082010,10931
20082090,10931
20083000,10931
20084010,10931
20084090,10931
20085000,10931
20086010,10931
20086090,10931
20087010,10931
20087020,10931
20087090,10931
20088000,10931
20089100,10931
20089210,10931
20089290,10931
20089300,10931
20089710,10931
20089790,10931
20089900,10931
20091100,10931
20091200,10931
20091900,10931
20092100,10931
20092900,10931
20093100,10931
20093900,10931
20094100,10931
20094900,10931
20095000,10931
20096100,10931
20096900,10931
20097100,10931
20097900,10931
20098000,10931
20098100,10931
20098900,10931
20098910,10931
20098911,10931
20098913,10931
20098990,10931
20099000,10931
21011110,10933
21011190,10933
21011200,10933
21012010,10937
21012020,10937
21013000,10933
21021000,10937
21021010,10937
21021090,10937
21022000,10937
21023000,10937
21031010,10937
21031090,10937
21032010,10937
21032090,10937
21033010,10937
21033021,10937
21033029,10937
21039011,10937
21039019,10937
21039021,10937
21039029,10937
21039091,10937
21039099,10937
21041011,10937
21041019,10937
21041021,10937
21041029,10937
21042000,10937
21050010,10916
21050090,10916
21061000,10937
21069010,11001
21069021,10937
21069029,10937
21069030,10937
21069040,10937
21069050,10937
21069060,10937
21069090,10937
22011000,11001
22019000,10937
22021000,11001
22029000,11001
22030000,11001
22041010,11001
22041090,11001
22042100,11001
22042911,11001
22042919,11001
22042920,11001
22043000,11001
22051000,11001
22059000,11001
22060010,11001
22060090,11001
22071000,19921
22071010,19921
22071090,19921
22072010,19921
22072011,19921
22072019,19921
22072020,11001
22082000,11001
22083010,11001
22083020,11001
22083090,11001
22084000,11001
22085000,11001
22086000,11001
22087000,11001
22089000,11001
22090000,10937
23011010,10911
23011090,10911
23012010,10914
23012090,10914
23021000,10935
23023010,10935
23023090,10935
23024000,10935
