lon,lat,ibge,v
-4.084974,-38.498387,-1,48099
-4.084175,-38.49857,-1,48111
-4.084105,-38.498799,-1,48126
-4.113734,-38.49046,-1,48151
-4.112932,-38.490854,-1,48167
-4.113393,-38.489789,-1,48168
-4.112619,-38.490144,-1,48181
-4.112591,-38.490355,-1,48196
-4.147324,-38.47786,-1,48219
-4.14817,-38.477416,-1,48231
-4.147606,-38.4771,-1,48245
-4.200394,-38.469804,-1,48299
-5.165473,-40.657335,-1,48365
-5.164938,-40.657781,-1,48378
-5.164648,-40.656866,-1,48379
-7.226217,-39.327868,-1,48419
-7.226734,-39.326763,-1,48427
-7.225142,-39.327021,-1,48453
-7.228613,-39.386911,-1,48490
-7.226935,-39.388176,-1,48532
-3.843224,-38.5853,-1,48573
-3.843939,-38.585475,-1,48574
-3.844058,-38.585111,-1,48580
-3.84391,-38.584845,-1,48588
-3.876111,-38.595565,-1,48614
-3.875908,-38.595343,-1,48622
-3.87634,-38.595526,-1,48623
-3.876055,-38.59505,-1,48629
-3.982262,-38.611904,-1,48656
-3.982547,-38.612022,-1,48663
-3.982453,-38.612598,-1,48677
-3.981999,-38.612519,-1,48687
-3.862899,-38.469428,-1,48705
-3.863216,-38.469465,-1,48711
-3.863316,-38.470118,-1,48725
-3.862947,-38.470242,-1,48733
-3.862648,-38.469627,-1,48748
-3.91408,-38.389077,-1,48749
-3.913634,-38.388782,-1,48759
-3.914192,-38.38817,-1,48760
-3.914527,-38.388643,-1,48771
-3.913634,-38.388448,-1,48783
-3.960115,-38.365949,-1,48797
-3.960378,-38.365918,-1,48802
-3.960732,-38.366273,-1,48812
-3.960295,-38.366799,-1,48826
-3.959882,-38.366518,-1,48836
-4.023606,-38.315533,-1,48849
-4.023858,-38.3152,-1,48858
-4.024061,-38.315204,-1,48863
-4.024297,-38.315506,-1,48872
-4.023844,-38.315862,-1,48873
-4.104727,-38.283234,-1,48895
-4.105157,-38.28328,-1,48906
-4.10515,-38.283709,-1,48914
-4.102662,-38.284022,-1,48915
-4.102662,-38.284429,-1,48939
-4.103055,-38.28456,-1,48947
-4.138626,-38.265619,-1,48983
-4.138728,-38.265596,-1,48986
-4.138468,-38.265821,-1,48987
-4.138827,-38.266121,-1,48994
-4.138708,-38.266136,-1,48997
-4.139002,-38.265909,-1,48998
-4.162563,-38.23223,-1,49026
-4.16291,-38.232175,-1,49035
-4.163058,-38.232551,-1,49045
-4.162681,-38.232732,-1,49055
-4.162475,-38.232418,-1,49056
-4.209478,-38.227355,-1,49085
-4.210568,-38.226969,-1,49086
-4.209187,-38.22651,-1,49091
-4.209849,-38.226018,-1,49104
-4.185343,-38.151713,-1,49137
-4.185521,-38.151422,-1,49145
-4.185923,-38.151506,-1,49155
-4.18583,-38.151997,-1,49167
-4.185458,-38.151961,-1,49168
-4.186945,-38.135703,-1,49192
-4.186801,-38.135987,-1,49200
-4.186444,-38.135836,-1,49211
-4.186443,-38.13567,-1,49212
-4.325397,-40.152857,-1,49222
-4.325227,-40.152749,-1,49236
-4.325437,-40.152724,-1,49237
-4.325325,-40.152657,-1,49245
-4.333328,-40.158363,-1,49260
-4.333288,-40.158078,-1,49270
-4.333486,-40.158006,-1,69719
-4.333421,-40.158003,-1,49294
-3.52644,-40.342048,-1,49297
-3.526259,-40.341989,-1,49320
-3.526415,-40.342133,-1,2115
-3.827137,-38.624179,-1,49340
-3.827494,-38.624577,-1,49341
-3.82747,-38.623941,-1,49356
-3.850553,-38.645371,-1,49373
-3.85138,-38.646429,-1,49393
-3.850576,-38.646612,-1,49418
-3.8501,-38.646168,-1,49426
-3.909892,-38.683212,-1,49448
-3.871395,-38.498856,-1,49489
-3.871252,-38.498736,-1,49494
-3.871593,-38.498821,-1,49495
-3.871671,-38.498553,-1,49501
-3.871296,-38.498475,-1,49516
-3.724406,-38.643175,-1,49527
-3.724102,-38.643219,-1,49534
-3.724532,-38.642648,-1,49535
-3.724029,-38.642507,-1,49547
-3.723912,-38.643098,-1,49558
-6.37673,-39.306132,-1,49577
-6.376953,-39.306256,-1,49592
-6.376724,-39.306317,-1,49605
-6.376696,-39.306186,-1,49612
-4.224858,-38.915795,-1,49615
-4.225517,-38.922372,-1,49654
-4.226036,-38.928073,-1,49687
-4.223843,-38.730372,-1,49703
-4.224403,-38.728061,-1,69367
-4.214472,-38.954741,-1,52262
-4.261892,-38.932637,-1,52684
-4.26075,-38.929227,-1,52707
